iter	Logloss
0	0.6893407183
1	0.6859282554
2	0.6827821252
3	0.6800128173
4	0.6774343431
5	0.6751438688
6	0.6729078991
7	0.6709428378
8	0.669142098
9	0.6675169843
10	0.6659513547
11	0.6644940615
12	0.663125658
13	0.661917404
14	0.6607919837
15	0.6597265185
16	0.658787356
17	0.6578773973
18	0.6570338536
19	0.6562631173
20	0.6555493754
21	0.6548951848
22	0.6542401868
23	0.6536357234
24	0.653077017
25	0.6525416601
26	0.6520694209
27	0.6515854733
28	0.6511461388
29	0.6507428043
30	0.6503587147
31	0.6499898998
32	0.6496387148
33	0.6493037467
34	0.6490172944
35	0.6486852197
36	0.6484108123
37	0.6481211974
38	0.6478470591
39	0.6475979526
40	0.6473481059
41	0.647156734
42	0.6469073584
43	0.6466706332
44	0.6464658033
45	0.6462574744
46	0.6460614595
47	0.6458669249
48	0.6456675455
49	0.6454761063
50	0.6452912615
51	0.6451171157
52	0.644945998
53	0.644772727
54	0.6446253625
55	0.6444553887
56	0.644295643
57	0.6441452505
58	0.6439842262
59	0.6438505889
60	0.6436964281
61	0.6435633291
62	0.6434272693
63	0.643302245
64	0.6431838152
65	0.643061146
66	0.642913176
67	0.6427863349
68	0.6426675012
69	0.6425454377
70	0.6424361592
71	0.6423304471
72	0.6422293107
73	0.6421126976
74	0.6420120322
75	0.6419047051
76	0.6417858715
77	0.6416824472
78	0.6415861557
79	0.6414913445
80	0.6414150379
81	0.6413199576
82	0.6412231277
83	0.6411299314
84	0.6410448773
85	0.6409454904
86	0.6408656175
87	0.6407689222
88	0.640682253
89	0.6405916811
90	0.6405250643
91	0.6404518531
92	0.6403806606
93	0.6403079204
94	0.6402213185
95	0.6401282569
96	0.6400715316
97	0.6399967055
98	0.639938298
99	0.6398659616
100	0.6398096401
101	0.6397388513
102	0.6396476065
103	0.6395795766
104	0.6394936476
105	0.6394375953
106	0.6393809374
107	0.639314657
108	0.6392475692
109	0.6391787318
110	0.6391150085
111	0.6390685113
112	0.6390167655
113	0.6389531094
114	0.6388836665
115	0.6388142235
116	0.6387389936
117	0.6386764815
118	0.6386196889
119	0.6385719805
120	0.6385071133
121	0.6384518684
122	0.6383970946
123	0.6383370722
124	0.6382939395
125	0.6382419918
126	0.6381997339
127	0.6381500741
128	0.6381039133
129	0.6380251171
130	0.6379715545
131	0.637912205
132	0.6378690723
133	0.6378097227
134	0.637732676
135	0.6376876592
136	0.6376460742
137	0.6375978947
138	0.6375300667
139	0.6374637191
140	0.6374226051
141	0.6373728107
142	0.6373202574
143	0.6372639359
144	0.6372218799
145	0.637188235
146	0.6371446313
147	0.637111592
148	0.6370422836
149	0.6370078986
150	0.6369581042
151	0.6369003024
152	0.6368511809
153	0.6368039435
154	0.6367555622
155	0.6367155248
156	0.6366575884
157	0.6366129753
158	0.6365673529
159	0.6365224707
160	0.6364767809
161	0.6364440109
162	0.636393409
163	0.6363505455
164	0.6363043174
165	0.6362592333
166	0.6362167062
167	0.6361737754
168	0.6361303735
169	0.6360811848
170	0.636041282
171	0.6360028595
172	0.635969753
173	0.6359211025
174	0.6358756147
175	0.6358297904
176	0.6357875325
177	0.6357488409
178	0.6356945381
179	0.6356383512
180	0.6355870764
181	0.6355522204
182	0.6355094241
183	0.6354673681
184	0.6354174391
185	0.6353708073
186	0.6353322503
187	0.6352762653
188	0.6352353532
189	0.6351840784
190	0.6351468672
191	0.6351006392
192	0.6350650429
193	0.6350303887
194	0.6349869868
195	0.6349571775
196	0.6349263588
197	0.6348845046
198	0.6348492448
199	0.6348053719
200	0.6347426579
201	0.6347030916
202	0.6346608336
203	0.6346205944
204	0.6345745682
205	0.6345426729
206	0.6345046542
207	0.6344598393
208	0.634423301
209	0.6343911365
210	0.6343541944
211	0.6343166468
212	0.6342798393
213	0.6342417533
214	0.6341986879
215	0.6341593907
216	0.6341137683
217	0.6340809309
218	0.6340477571
219	0.6340116225
220	0.6339818132
221	0.6339382768
222	0.6338991142
223	0.6338521459
224	0.6338069945
225	0.6337659478
226	0.6337337161
227	0.6336830469
228	0.6336313684
229	0.6335930133
230	0.6335582918
231	0.6335119292
232	0.6334659703
233	0.6334188002
234	0.6333825984
235	0.633344647
236	0.6333130881
237	0.633275204
238	0.6332381274
239	0.6331969461
240	0.6331612825
241	0.6331198321
242	0.633067548
243	0.6330343068
244	0.6330065162
245	0.6329608938
246	0.6329234134
247	0.6328969686
248	0.6328479144
249	0.6328030321
250	0.6327686471
251	0.6327323779
252	0.6326876976
253	0.6326432191
254	0.6325966546
255	0.6325597125
256	0.6325165126
257	0.632482464
258	0.632449492
259	0.63240535
260	0.6323606696
261	0.6323137687
262	0.6322756827
263	0.6322396827
264	0.6321801986
265	0.6321475631
266	0.6321096117
267	0.6320802734
268	0.6320439369
269	0.6320018809
270	0.6319602958
271	0.631923623
272	0.6318814323
273	0.6318403856
274	0.6318087594
275	0.6317691258
276	0.6317311071
277	0.6316943669
278	0.6316469277
279	0.6316167819
280	0.6315671221
281	0.6315267483
282	0.6314862399
283	0.6314445875
284	0.6314239296
285	0.6313787782
286	0.6313387408
287	0.6313087969
288	0.6312915707
289	0.6312607521
290	0.6312210511
291	0.6311749577
292	0.6311416493
293	0.6310985839
294	0.6310520867
295	0.6310080792
296	0.6309776643
297	0.6309413951
298	0.6309012232
299	0.6308686549
300	0.6308330587
301	0.6307983372
302	0.6307607895
303	0.6307276157
304	0.6306722363
305	0.6306412157
306	0.630590883
307	0.6305527298
308	0.6305152494
309	0.6304795859
310	0.6304390774
311	0.6304094027
312	0.630369769
313	0.6303279821
314	0.6302946064
315	0.6302495896
316	0.6302080719
317	0.6301679672
318	0.6301368794
319	0.6300960345
320	0.6300631971
321	0.6300253803
322	0.6299846701
323	0.6299301654
324	0.6298992121
325	0.6298554738
326	0.629812543
327	0.6297836757
328	0.6297345542
329	0.6296890664
330	0.6296537393
331	0.6296199598
332	0.629571444
333	0.6295377318
334	0.6295063748
335	0.6294633094
336	0.6294189655
337	0.6293924534
338	0.6293614328
339	0.6293396982
340	0.6293078029
341	0.6292668908
342	0.6292318328
343	0.6292038403
344	0.6291617842
345	0.6291183151
346	0.6290801618
347	0.6290480646
348	0.6290087674
349	0.6289744497
350	0.6289461207
351	0.6289159749
352	0.6288843488
353	0.628847945
354	0.628808446
355	0.6287690815
356	0.6287428385
357	0.6286903526
358	0.628656775
359	0.6286100759
360	0.6285820161
361	0.6285387488
362	0.6284922517
363	0.6284575302
364	0.6284220685
365	0.6283792722
366	0.6283414554
367	0.6283006779
368	0.6282729545
369	0.6282358779
370	0.6282093657
371	0.6281723564
372	0.628131377
373	0.6280994816
374	0.6280589059
375	0.6280229732
376	0.6279893957
377	0.6279586443
378	0.6279258742
379	0.6278868462
380	0.6278418966
381	0.6278152499
382	0.6277791826
383	0.6277536798
384	0.6277218518
385	0.6276941284
386	0.6276517359
387	0.6276290593
388	0.6275931939
389	0.6275639902
390	0.6275331042
391	0.6274927304
392	0.6274590182
393	0.6274239603
394	0.627381164
395	0.6273537771
396	0.6273212762
397	0.6272786818
398	0.6272329248
399	0.6271938968
400	0.6271451117
401	0.6270996239
402	0.6270644314
403	0.6270249323
404	0.6269910183
405	0.6269601996
406	0.6269263529
407	0.6268931118
408	0.6268581211
409	0.6268127679
410	0.6267806707
411	0.6267358557
412	0.6267090744
413	0.6266716614
414	0.6266524838
415	0.6266138595
416	0.626571467
417	0.6265370819
418	0.6265086184
419	0.626482981
420	0.6264563343
421	0.626433725
422	0.6264055306
423	0.6263641474
424	0.6263222932
425	0.6262777474
426	0.6262433624
427	0.6262076988
428	0.6261691418
429	0.6261346895
430	0.6261013811
431	0.6260698222
432	0.6260369848
433	0.6260007157
434	0.6259662634
435	0.6259307344
436	0.6258921774
437	0.6258612241
438	0.6258351157
439	0.6257948765
440	0.6257654709
441	0.6257379494
442	0.6257082746
443	0.6256730148
444	0.6256348616
445	0.6255998709
446	0.6255568728
447	0.6255218821
448	0.6254863532
449	0.6254512952
450	0.6254222261
451	0.6253875046
452	0.6253519083
453	0.6253176579
454	0.6252895981
455	0.6252603943
456	0.6252305177
457	0.6251922299
458	0.6251588542
459	0.6251346299
460	0.6251037439
461	0.6250725215
462	0.625034772
463	0.625008529
464	0.6249649252
465	0.6249201103
466	0.624887071
467	0.6248541664
468	0.6248279907
469	0.6247811571
470	0.6247436094
471	0.6247094935
472	0.6246778674
473	0.6246415309
474	0.6246133365
475	0.6245829889
476	0.6245449029
477	0.6245047982
478	0.6244857552
479	0.6244540618
480	0.6244164468
481	0.6243761403
482	0.6243358338
483	0.6243023235
484	0.6242841553
485	0.6242405515
486	0.6242026002
487	0.6241699646
488	0.6241404918
489	0.6241050974
490	0.6240606189
491	0.6240177553
492	0.6239820918
493	0.6239531572
494	0.6239268469
495	0.6238967011
496	0.6238630563
497	0.6238306227
498	0.6237996021
499	0.623768918
500	0.6237403199
501	0.623696447
502	0.62365789
503	0.6236286862
504	0.623597262
505	0.6235655012
506	0.6235231087
507	0.6234937031
508	0.6234509068
509	0.6234174639
510	0.6233850302
511	0.6233671312
512	0.6233316695
513	0.6233110788
514	0.6232768957
515	0.6232425779
516	0.6232072508
517	0.6231756247
518	0.6231458153
519	0.6231079312
520	0.6230768434
521	0.6230425929
522	0.623017763
523	0.6229871462
524	0.6229515499
525	0.6229166266
526	0.6228852023
527	0.6228520957
528	0.6228193257
529	0.6227874976
530	0.6227652247
531	0.622738578
532	0.6227111911
533	0.6226812472
534	0.6226564846
535	0.622622907
536	0.6225842154
537	0.622549965
538	0.6225068996
539	0.6224748024
540	0.6224453295
541	0.6224134341
542	0.6223783762
543	0.6223545557
544	0.6223271687
545	0.6222832286
546	0.6222524099
547	0.6222139202
548	0.62218438
549	0.6221484473
550	0.6221176286
551	0.6221003351
552	0.6220598267
553	0.622015752
554	0.6219955651
555	0.6219706006
556	0.6219524324
557	0.6219188548
558	0.6218688586
559	0.6218361558
560	0.6217994829
561	0.6217611277
562	0.6217302418
563	0.6216994231
564	0.6216529932
565	0.6216215689
566	0.6215881259
567	0.6215536063
568	0.6215169334
569	0.6214937857
570	0.6214640437
571	0.6214265633
572	0.621397225
573	0.6213641185
574	0.621322668
575	0.6212833708
576	0.6212535615
577	0.6212308848
578	0.6211954905
579	0.6211631241
580	0.6211281335
581	0.6211088886
582	0.621075311
583	0.6210328512
584	0.6209791541
585	0.6209480662
586	0.6209148251
587	0.6208838718
588	0.6208492176
589	0.620814698
590	0.6207861672
591	0.6207485522
592	0.6207067653
593	0.620672784
594	0.6206407541
595	0.6206059653
596	0.6205768962
597	0.6205491728
598	0.6205280439
599	0.6205003205
600	0.6204752887
601	0.6204484401
602	0.6204156701
603	0.6203913112
604	0.6203652028
605	0.6203295392
606	0.6203114383
607	0.6202762458
608	0.6202546458
609	0.6202192514
610	0.6201897785
611	0.6201557299
612	0.6201255841
613	0.6200979953
614	0.6200621299
615	0.6200391169
616	0.6200167094
617	0.6199901299
618	0.6199678571
619	0.6199327318
620	0.619908844
621	0.6198837449
622	0.6198546758
623	0.6198175991
624	0.6197799842
625	0.619746272
626	0.6197061674
627	0.6196830197
628	0.6196431842
629	0.6196219207
630	0.6195997151
631	0.6195693674
632	0.619544874
633	0.6195186983
634	0.619485659
635	0.619451745
636	0.6194241562
637	0.6193923282
638	0.6193465039
639	0.6193014871
640	0.6192685151
641	0.6192319768
642	0.6192134722
643	0.6191883731
644	0.6191593712
645	0.6191273413
646	0.619102175
647	0.6190788255
648	0.6190391245
649	0.6190164479
650	0.6189875133
651	0.6189589825
652	0.6189290386
653	0.6188904143
654	0.6188624218
655	0.6188379956
656	0.618805562
657	0.6187747433
658	0.618734975
659	0.6187181526
660	0.6186758947
661	0.6186525452
662	0.6186205153
663	0.6185669527
664	0.6185304816
665	0.6185065265
666	0.6184694499
667	0.6184343919
668	0.6184045153
669	0.6183814349
670	0.6183550574
671	0.6183204032
672	0.6182965826
673	0.6182733677
674	0.6182526424
675	0.6182321864
676	0.6182088368
677	0.6181865639
678	0.6181584368
679	0.6181261378
680	0.6180937041
681	0.6180737864
682	0.6180568294
683	0.6180283658
684	0.6180110724
685	0.6179832144
686	0.6179479546
687	0.6179192219
688	0.6178933827
689	0.6178655248
690	0.6178351098
691	0.6178118276
692	0.6177692332
693	0.6177444033
694	0.6177010014
695	0.617679536
696	0.6176534949
697	0.6176135248
698	0.6175802837
699	0.6175461678
700	0.6175193865
701	0.61747908
702	0.6174495398
703	0.6174333903
704	0.6174051286
705	0.6173721566
706	0.61734948
707	0.6173241791
708	0.6172891884
709	0.6172586389
710	0.6172289641
711	0.6172015099
712	0.6171764109
713	0.6171506389
714	0.6171128221
715	0.6170798501
716	0.6170390726
717	0.6170155212
718	0.6169721866
719	0.6169489717
720	0.6169178165
721	0.6168824894
722	0.6168429231
723	0.6168051063
724	0.6167769792
725	0.6167497268
726	0.616718168
727	0.6166913194
728	0.6166635287
729	0.6166291437
730	0.6165976521
731	0.6165714764
732	0.616544897
733	0.6165086278
734	0.6164756559
735	0.6164500858
736	0.6164175176
737	0.6163835363
738	0.6163564858
739	0.61633354
740	0.6163054129
741	0.6162808522
742	0.6162455924
743	0.616214841
744	0.6161849643
745	0.6161591251
746	0.6161345643
747	0.6161034092
748	0.6160633718
749	0.6160315438
750	0.6160007924
751	0.615965398
752	0.615943327
753	0.6159093457
754	0.6158752971
755	0.6158462279
756	0.6158191775
757	0.6157860709
758	0.61576077
759	0.6157327102
760	0.6157039775
761	0.6156842616
762	0.6156398504
763	0.6156085607
764	0.6155800972
765	0.6155428187
766	0.6155194691
767	0.6155013682
768	0.6154730392
769	0.6154463925
770	0.6154210916
771	0.6153836112
772	0.6153437757
773	0.6153163888
774	0.6152801196
775	0.6152597982
776	0.6152332187
777	0.6152124935
778	0.6151860486
779	0.6151554318
780	0.615120643
781	0.6150941982
782	0.6150704449
783	0.615047701
784	0.6150285234
785	0.6149964262
786	0.6149745571
787	0.6149424599
788	0.6149186393
789	0.6148882244
790	0.614860501
791	0.6148292113
792	0.614796845
793	0.6147649497
794	0.6147303627
795	0.6146966506
796	0.6146527104
797	0.6146293609
798	0.6145992824
799	0.6145703478
800	0.6145377796
801	0.6145085759
802	0.6144745946
803	0.6144489572
804	0.6144221086
805	0.6143992974
806	0.6143628937
807	0.6143388712
808	0.6143151853
809	0.6142856451
810	0.6142636413
811	0.6142365909
812	0.6141960825
813	0.6141594769
814	0.6141349161
815	0.6140998582
816	0.6140844489
817	0.6140584077
818	0.6140308862
819	0.6140002694
820	0.6139662208
821	0.6139415928
822	0.6139136003
823	0.6138823779
824	0.6138592975
825	0.6138323816
826	0.6138084265
827	0.6137845386
828	0.6137489424
829	0.6137148938
830	0.6136891218
831	0.6136585723
832	0.6136344153
833	0.613605077
834	0.6135726433
835	0.6135429686
836	0.6135079106
837	0.6134766209
838	0.6134319406
839	0.6134034097
840	0.613374677
841	0.6133439929
842	0.6133208453
843	0.6132843742
844	0.6132578621
845	0.6132308116
846	0.6131975705
