iter	Passed	Remaining
0	40	40463
1	82	41177
2	122	40823
3	165	41189
4	205	40815
5	242	40148
6	280	39787
7	319	39613
8	360	39664
9	395	39156
10	431	38804
11	469	38645
12	508	38584
13	543	38309
14	577	37945
15	610	37575
16	643	37222
17	678	36994
18	711	36757
19	749	36703
20	779	36342
21	811	36091
22	847	36001
23	889	36192
24	924	36040
25	959	35933
26	959	35933
27	1156	41634
28	1196	41498
29	1237	41379
30	1276	41219
31	1314	41043
32	1352	40863
33	1390	40699
34	1426	40500
35	1467	40415
36	1509	40392
37	1556	40470
38	1600	40464
39	1645	40504
40	1676	40185
41	1713	40040
42	1748	39835
43	1781	39613
44	1823	39575
45	1861	39464
46	1906	39492
47	1942	39346
48	1984	39308
49	2028	39335
50	2069	39270
51	2109	39211
52	2144	39063
53	2177	38861
54	2208	38640
55	2236	38385
56	2268	38192
57	2298	37991
58	2329	37800
59	2365	37683
60	2396	37500
61	2428	37347
62	2463	37227
63	2496	37097
64	2526	36906
65	2558	36761
66	2589	36600
67	2620	36458
68	2652	36314
69	2684	36182
70	2714	36025
71	2748	35918
72	2781	35809
73	2812	35681
74	2845	35565
75	2879	35477
76	2913	35387
77	2946	35278
78	2978	35174
79	3010	35064
80	3040	34928
81	3073	34835
82	3105	34734
83	3136	34609
84	3168	34511
85	3198	34392
86	3232	34314
87	3275	34338
88	3318	34349
89	3357	34332
90	3391	34251
91	3424	34167
92	3458	34094
93	3489	33991
94	3523	33923
95	3571	33983
96	3571	33983
97	3771	35439
98	3809	35387
99	3844	35310
100	3883	35267
101	3883	35267
102	4073	36534
103	4105	36424
104	4135	36283
105	4169	36188
106	4201	36076
107	4234	35969
108	4266	35863
109	4296	35741
110	4329	35639
111	4361	35531
112	4392	35415
113	4426	35334
114	4457	35222
115	4493	35152
116	4528	35076
117	4560	34976
118	4591	34873
119	4623	34773
120	4654	34671
121	4688	34590
122	4722	34514
123	4753	34412
124	4786	34327
125	4820	34253
126	4854	34178
127	4887	34093
128	4921	34023
129	4954	33940
130	4986	33852
131	5021	33786
132	5052	33696
133	5084	33612
134	5118	33540
135	5148	33443
136	5181	33368
137	5215	33299
138	5247	33218
139	5280	33150
140	5312	33070
141	5346	33002
142	5382	32946
143	5415	32878
144	5446	32796
145	5478	32720
146	5513	32660
147	5546	32593
148	5578	32514
149	5611	32446
150	5644	32377
151	5644	32377
152	5834	33166
153	5865	33084
154	5899	33011
155	5932	32940
156	5965	32867
157	5998	32795
158	6032	32729
159	6065	32658
160	6096	32581
161	6128	32504
162	6161	32432
163	6193	32363
164	6227	32295
165	6261	32233
166	6294	32169
167	6330	32114
168	6363	32049
169	6397	31988
170	6430	31922
171	6467	31874
172	6502	31819
173	6538	31768
174	6573	31716
175	6605	31643
176	6637	31574
177	6671	31515
178	6706	31461
179	6738	31396
180	6770	31330
181	6805	31276
182	6842	31229
183	6878	31181
184	6909	31111
185	6943	31054
186	6977	30998
187	7012	30947
188	7047	30896
189	7082	30843
190	7115	30784
191	7147	30719
192	7182	30667
193	7214	30604
194	7250	30557
195	7283	30500
196	7318	30449
197	7353	30401
198	7386	30340
199	7416	30271
200	7455	30237
201	7494	30206
202	7531	30164
203	7567	30118
204	7598	30051
205	7630	29993
206	7664	29941
207	7701	29900
208	7734	29843
209	7772	29806
210	7806	29756
211	7844	29717
212	7879	29669
213	7911	29613
214	7950	29577
215	7950	29577
216	8141	30070
217	8180	30031
218	8212	29972
219	8245	29913
220	8278	29855
221	8309	29791
222	8340	29726
223	8369	29658
224	8402	29600
225	8433	29534
