threshold,precision,recall,f1,tn,fp,fn,tp,total_cost,default_catch_rate
0.1,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.11,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.12,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.13,0.11587965184017546,0.9998817267888823,0.20768947303771035,1,64501,1,8454,64511,0.9998817267888823
0.13999999999999999,0.11587388622344072,0.9997634535777646,0.2076776610773294,5,64497,2,8453,64517,0.9997634535777646
0.14999999999999997,0.11587765118797899,0.999645180366647,0.20768115585915423,15,64487,3,8452,64517,0.999645180366647
0.15999999999999998,0.11592851166554652,0.999645180366647,0.20776283768835574,47,64455,3,8452,64485,0.999645180366647
0.16999999999999998,0.11597902769771336,0.9994086339444116,0.20783884495714092,94,64408,5,8450,64458,0.9994086339444116
0.17999999999999997,0.11608026388125343,0.9989355410999409,0.2079911346426153,188,64314,9,8446,64404,0.9989355410999409
0.18999999999999995,0.11622973177754205,0.9978710821998817,0.20820788707368837,350,64152,18,8437,64332,0.9978710821998817
0.19999999999999996,0.11649545825325941,0.9965700768775873,0.2086056644880174,599,63903,29,8426,64193,0.9965700768775873
0.20999999999999996,0.1167761558867238,0.994441159077469,0.20900865069106095,909,63593,47,8408,64063,0.994441159077469
0.21999999999999995,0.11729430512454919,0.9924305144884683,0.2097933569187304,1355,63147,64,8391,63787,0.9924305144884683
0.22999999999999995,0.11772330233868696,0.9882909520993495,0.21038585006609178,1878,62624,99,8356,63614,0.9882909520993495
0.23999999999999994,0.11830953870655822,0.984033116499113,0.21122380329783316,2498,62004,135,8320,63354,0.984033116499113
0.24999999999999992,0.11920463053619766,0.979183914843288,0.21253545894463913,3329,61173,176,8279,62933,0.979183914843288
0.2599999999999999,0.12004673920981523,0.9720875221762271,0.21370254810192407,4256,60246,236,8219,62606,0.9720875221762271
0.2699999999999999,0.12118330535043015,0.9646363098758132,0.21531719422371234,5355,59147,299,8156,62137,0.9646363098758132
0.2799999999999999,0.12257400880390881,0.958367829686576,0.21734932002896917,6498,58004,352,8103,61524,0.958367829686576
0.2899999999999999,0.12396324040466446,0.9492607924305145,0.21928961748633882,7783,56719,429,8026,61009,0.9492607924305145
0.29999999999999993,0.12543658632951402,0.9387344766410408,0.22130210511640874,9164,55338,518,7937,60518,0.9387344766410408
0.30999999999999994,0.12699876998769988,0.9280898876404494,0.2234243981606708,10561,53941,608,7847,60021,0.9280898876404494
0.3199999999999999,0.12883231692118513,0.9169722057953873,0.22592301191829123,12076,52426,702,7753,59446,0.9169722057953873
0.32999999999999985,0.1306837606837607,0.9041986989946778,0.22836233291016356,13647,50855,810,7645,58955,0.9041986989946778
0.33999999999999986,0.13291741567093157,0.8920165582495565,0.23136033866588948,15302,49200,913,7542,58330,0.8920165582495565
0.34999999999999987,0.1354473674635229,0.8805440567711413,0.23478027782595673,16981,47521,1010,7445,57621,0.8805440567711413
0.3599999999999999,0.1377978713384195,0.8651685393258427,0.23773155671108223,18732,45770,1140,7315,57170,0.8651685393258427
0.3699999999999999,0.14047228086636954,0.8499112950916617,0.24109644193185822,20532,43970,1269,7186,56660,0.8499112950916617
0.3799999999999999,0.14337070436266147,0.8348905972797162,0.2447175469310638,22325,42177,1396,7059,56137,0.8348905972797162
0.3899999999999999,0.14606646678772012,0.818214074512123,0.24788146980310657,24058,40444,1537,6918,55814,0.818214074512123
0.3999999999999998,0.14890244170941677,0.7998817267888824,0.2510673051935999,25846,38656,1692,6763,55576,0.7998817267888824
0.4099999999999998,0.15230949805528066,0.7827321111768184,0.254999422032135,27669,36833,1837,6618,55203,0.7827321111768184
0.4199999999999998,0.15568876691222494,0.7648728562980485,0.2587162202708379,29431,35071,1988,6467,54951,0.7648728562980485
0.4299999999999998,0.15945577544426495,0.7471318746303962,0.26281957937217865,31203,33299,2138,6317,54679,0.7471318746303962
0.43999999999999984,0.1630420351044903,0.7261975162625666,0.26629656937155743,32983,31519,2315,6140,54669,0.7261975162625666
0.44999999999999984,0.16740765595727428,0.7081017149615612,0.270794698991361,34726,29776,2468,5987,54456,0.7081017149615612
0.45999999999999985,0.17045822419729834,0.6850384387936133,0.27298864118395627,36315,28187,2663,5792,54817,0.6850384387936133
0.46999999999999986,0.17421342545047147,0.6620934358367829,0.2758450773627673,37967,26535,2857,5598,55105,0.6620934358367829
0.47999999999999976,0.1788312757201646,0.6424600827912478,0.2797836724182333,39559,24943,3023,5432,55173,0.6424600827912478
0.48999999999999977,0.1828744896891029,0.6198698994677706,0.2824271164520127,41084,23418,3214,5241,55558,0.6198698994677706
0.4999999999999998,0.18726161821884837,0.5981076286221171,0.28522278623801467,42554,21948,3398,5057,55928,0.5981076286221171
0.5099999999999998,0.19169656586365966,0.5750443524541692,0.2875391803181737,44001,20501,3593,4862,56431,0.5750443524541692
0.5199999999999998,0.19545492732924472,0.5503252513305736,0.2884597501627352,45349,19153,3802,4653,57173,0.5503252513305736
0.5299999999999998,0.19939021656279424,0.5259609698403311,0.2891605435984134,46646,17856,4008,4447,57936,0.5259609698403311
0.5399999999999998,0.20409339867396945,0.5024246008279125,0.2902729850695275,47936,16566,4207,4248,58636,0.5024246008279125
0.5499999999999998,0.21051819864281307,0.48432879952690716,0.29347475543770374,49145,15357,4360,4095,58957,0.48432879952690716
0.5599999999999997,0.21714317375886524,0.46351271437019514,0.2957401048937856,50373,14129,4536,3919,59489,0.46351271437019514
0.5699999999999997,0.22279978490768956,0.4410408042578356,0.29604636392505557,51494,13008,4726,3729,60268,0.4410408042578356
0.5799999999999997,0.22861916083017414,0.420816085156712,0.2962777916562578,52497,12005,4897,3558,60975,0.420816085156712
0.5899999999999997,0.2343891402714932,0.39822590183323475,0.2950920245398773,53504,10998,5088,3367,61878,0.39822590183323475
0.5999999999999998,0.24117557945765794,0.37658190419869897,0.29403887888442537,54484,10018,5271,3184,62728,0.37658190419869897
0.6099999999999998,0.24789915966386555,0.3558840922531047,0.2922352255620842,55373,9129,5446,3009,63589,0.3558840922531047
0.6199999999999998,0.25724343352288115,0.33707865168539325,0.2917989147128084,56273,8229,5605,2850,64279,0.33707865168539325
0.6299999999999997,0.2643040981983766,0.3157894736842105,0.28776203050061977,57070,7432,5785,2670,65282,0.3157894736842105
0.6399999999999997,0.27185419622394413,0.29461856889414545,0.2827789760472244,57830,6672,5964,2491,66312,0.29461856889414545
