threshold,precision,recall,f1,tn,fp,fn,tp,total_cost,default_catch_rate
0.1,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.11,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.12,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.13,0.11589018188796141,1.0,0.20770893725740677,0,64502,0,8455,64502,1.0
0.13999999999999999,0.11589335891988212,1.0,0.20771404004422062,2,64500,0,8455,64500,1.0
0.14999999999999997,0.11590030435140249,0.9998817267888823,0.20772264334066365,14,64488,1,8454,64498,0.9998817267888823
0.15999999999999998,0.11592632719393282,0.9997634535777646,0.20776188369463697,38,64464,2,8453,64484,0.9997634535777646
0.16999999999999998,0.11593089157552387,0.9991720875221762,0.20775643705580013,79,64423,7,8448,64493,0.9991720875221762
0.17999999999999997,0.11599697781441033,0.9986989946777055,0.20785230769230767,151,64351,11,8444,64461,0.9986989946777055
0.18999999999999995,0.11613311679374605,0.9979893554109994,0.20805542884617756,282,64220,17,8438,64390,0.9979893554109994
0.19999999999999996,0.11635389480370631,0.9965700768775873,0.20837867247007616,511,63991,29,8426,64281,0.9965700768775873
0.20999999999999996,0.11670064772049543,0.9951507983441751,0.20890334434044247,817,63685,41,8414,64095,0.9951507983441751
0.21999999999999995,0.11714927016966638,0.9938497930218806,0.20959293624663275,1176,63326,52,8403,63846,0.9938497930218806
0.22999999999999995,0.11776517172624898,0.9919574216439976,0.21053556411833368,1671,62831,68,8387,63511,0.9919574216439976
0.23999999999999994,0.11832299016690753,0.9876995860437611,0.21132944466235623,2275,62227,104,8351,63267,0.9876995860437611
0.24999999999999992,0.11897355028313382,0.9815493790656417,0.21222350083109576,3046,61456,156,8299,63016,0.9815493790656417
0.2599999999999999,0.11975821684926331,0.9748078060319337,0.2133105581220803,3922,60580,213,8242,62710,0.9748078060319337
0.2699999999999999,0.12069067296340023,0.9672383205204022,0.21460342452273176,4920,59582,277,8178,62352,0.9672383205204022
0.2799999999999999,0.12188303197005906,0.959077468953282,0.2162803723361694,6080,58422,346,8109,61882,0.959077468953282
0.2899999999999999,0.12329628210042162,0.9511531638083974,0.2182953311617807,7319,57183,413,8042,61313,0.9511531638083974
0.29999999999999993,0.12488061500884623,0.9433471318746304,0.22056302195675018,8609,55893,479,7976,60683,0.9433471318746304
0.30999999999999994,0.1263125831636661,0.9318746303962152,0.2224700700248475,10004,54498,576,7879,60258,0.9318746303962152
0.3199999999999999,0.12814310163243814,0.9209934949733886,0.2249830258729035,11521,52981,668,7787,59661,0.9209934949733886
0.32999999999999985,0.1301301470712678,0.9094027202838557,0.22768055432175532,13104,51398,766,7689,59058,0.9094027202838557
0.33999999999999986,0.13246258883514642,0.8972205795387345,0.23084413608423102,14819,49683,869,7586,58373,0.8972205795387345
0.34999999999999987,0.13485881207400194,0.8845653459491425,0.2340368939026489,16523,47979,976,7479,57739,0.8845653459491425
0.3599999999999999,0.13717771724935637,0.8696629213483146,0.2369756836456806,18253,46249,1102,7353,57269,0.8696629213483146
0.3699999999999999,0.1397932716503426,0.8541691306918983,0.24026481694029975,20062,44440,1233,7222,56770,0.8541691306918983
0.3799999999999999,0.14261268697280213,0.8378474275576582,0.24373795761079,21913,42589,1371,7084,56299,0.8378474275576582
0.3899999999999999,0.1455773182904836,0.8210526315789474,0.2473058905256408,23758,40744,1513,6942,55874,0.8210526315789474
0.3999999999999998,0.14903635567236093,0.804849201655825,0.2515014321352675,25647,38855,1650,6805,55355,0.804849201655825
0.4099999999999998,0.15320340656061338,0.7893554109994086,0.256603483409589,27613,36889,1781,6674,54699,0.7893554109994086
0.4199999999999998,0.1566534439235485,0.7706682436428149,0.26037962037962037,29423,35079,1939,6516,54469,0.7706682436428149
0.4299999999999998,0.16000302892624566,0.7497338852749852,0.26372391987186156,31223,33279,2116,6339,54439,0.7497338852749852
0.43999999999999984,0.16367790441274144,0.7286812536960379,0.2673116973273169,33022,31480,2294,6161,54420,0.7286812536960379
0.44999999999999984,0.16810127997317087,0.7114133648728563,0.271944300020345,34735,29767,2440,6015,54167,0.7114133648728563
0.45999999999999985,0.1718546958062611,0.6882318154937906,0.2750324943873331,36461,28041,2636,5819,54401,0.6882318154937906
0.46999999999999986,0.1759059500359566,0.6654050857480781,0.27825312824570947,38145,26357,2829,5626,54647,0.6654050857480781
0.47999999999999976,0.17964270325809553,0.6410408042578356,0.2806399834308497,39751,24751,3035,5420,55101,0.6410408042578356
0.48999999999999977,0.18413089373680508,0.618923713778829,0.28382372881355933,41315,23187,3222,5233,55407,0.618923713778829
0.4999999999999998,0.18826039755924082,0.594795978710822,0.28599863512283896,42818,21684,3426,5029,55944,0.594795978710822
0.5099999999999998,0.19303621169916435,0.5737433471318746,0.2888789638231354,44223,20279,3604,4851,56319,0.5737433471318746
0.5199999999999998,0.19792904430487185,0.5516262566528681,0.2913270245791561,45602,18900,3791,4664,56810,0.5516262566528681
0.5299999999999998,0.20334439042122962,0.5292726197516262,0.2938086796664697,46970,17532,3980,4475,57332,0.5292726197516262
0.5399999999999998,0.20802636680884062,0.5076286221170905,0.29511465603190423,48162,16340,4163,4292,57970,0.5076286221170905
0.5499999999999998,0.21354872329338198,0.4846836191602602,0.29647314161692895,49410,15092,4357,4098,58662,0.4846836191602602
0.5599999999999997,0.21860412800179968,0.45972797161442935,0.2963104131727398,50608,13894,4568,3887,59574,0.45972797161442935
0.5699999999999997,0.22396749348050216,0.4367829686575991,0.2961032713277742,51706,12796,4762,3693,60416,0.4367829686575991
0.5799999999999997,0.23081958627913066,0.4170313424009462,0.29716404702709537,52752,11750,4929,3526,61040,0.4170313424009462
0.5899999999999997,0.23761325028312572,0.39704316972205794,0.29730328122924327,53731,10771,5098,3357,61751,0.39704316972205794
0.5999999999999998,0.24453034402783147,0.37409816676522767,0.29574567554932213,54730,9772,5292,3163,62692,0.37409816676522767
0.6099999999999998,0.25111804910977975,0.35198107628622116,0.2931153353688565,55627,8875,5479,2976,63665,0.35198107628622116
0.6199999999999998,0.2591163773307615,0.3336487285629805,0.29169682556095544,56436,8066,5634,2821,64406,0.3336487285629805
0.6299999999999997,0.26774847870182555,0.3122412773506801,0.28828828828828834,57282,7220,5815,2640,65370,0.3122412773506801
0.6399999999999997,0.276536312849162,0.29272619751626255,0.2844010341855789,58027,6475,5980,2475,66275,0.29272619751626255
